time,mean_reward,mean_length
0h0min32s,0.0,13.0
0h1min4s,0.0,13.0
0h1min36s,0.0,13.0
0h2min8s,0.0,13.0
0h2min40s,0.0,13.0
0h3min12s,0.0,13.0
0h3min44s,0.0,13.0
0h4min16s,0.0,13.0
0h4min48s,0.0,13.0
0h5min32s,0.0,13.0
0h6min4s,0.0,13.0
time,mean_reward,mean_length
0h0min30s,0,0.4
0h1min1s,10,7.4
0h1min31s,10,4.0
0h2min1s,10,7.8
0h2min32s,10,0.8
0h3min3s,10,9.0
0h3min35s,10,12.0
0h4min5s,10,1.2
0h4min36s,10,2.4
0h5min31s,10,4.2
0h6min2s,10,3.2
time,mean_reward,mean_length
0h0min31s,0,9.6
0h1min1s,0,10.0
0h1min31s,0,4.8
0h2min1s,0,13.6
0h2min32s,10,1.2
0h3min2s,10,5.6
0h3min33s,10,6.6
0h4min4s,10,8.0
0h4min35s,10,3.4
0h5min30s,30,2.4
0h6min1s,10,21.0
0h6min31s,10,30.4
0h7min2s,10,5.4
