time,mean_reward,mean_length
0h1min0s,[0],1000
0h2min1s,[0],1000
0h3min1s,[0],1000
0h4min2s,[0],1000
0h5min3s,[0],1000
0h6min4s,[0],1000
0h7min5s,[20],585
0h8min5s,[0],415
0h9min5s,[0],1000
0h10min6s,[0],1000
0h11min7s,[0],1000
0h12min8s,[0],1000
0h13min9s,[20],987
0h14min9s,[0],13
0h15min9s,[20],476
0h16min10s,[0],524
0h17min10s,[0],1000
0h18min11s,[20],750
0h19min12s,[0],250
0h20min12s,[20],131
0h21min12s,[0],869
0h22min13s,[20],900
0h23min14s,[0],100
0h24min14s,[0],1000
0h25min15s,[20],163
0h26min15s,[20],269
0h27min15s,[20],269
0h28min15s,[0],299
0h29min15s,[0],1000
0h30min16s,[0],1000
0h31min17s,[20],81
0h32min17s,[20],130
0h33min17s,[20],181
0h34min17s,[0],608
0h35min18s,[20],200
0h36min18s,[20],75
0h37min18s,[20],76
0h38min18s,[20],59
0h39min18s,[20],51
0h40min18s,[20],51
0h41min18s,[20],50
0h42min18s,[20],45
0h43min18s,[20],43
0h44min19s,[20],41
0h45min19s,[20],40
0h46min19s,[20],43
0h47min19s,[20],39
0h48min19s,[20],40
0h49min19s,[20],36
0h50min19s,[20],40
0h51min19s,[20],43
0h52min19s,[0],28
0h53min19s,[20],38
0h54min19s,[20],36
0h55min19s,[20],41
0h56min19s,[20],37
0h57min19s,[20],38
0h58min19s,[20],36
0h59min19s,[20],37
1h0min19s,[20],39
1h1min19s,[20],42
1h2min19s,[20],36
1h3min19s,[20],39
1h4min19s,[20],36
1h5min20s,[20],38
1h6min20s,[20],42
1h7min20s,[20],36
1h8min20s,[20],38
1h9min20s,[20],38
1h10min20s,[20],37
1h11min20s,[20],37
1h12min20s,[20],37
1h13min20s,[20],37
1h14min20s,[20],34
1h15min20s,[20],38
1h16min20s,[20],37
1h17min20s,[20],35
1h18min20s,[20],34
1h19min20s,[0],27
1h20min20s,[20],36
1h21min20s,[20],34
1h22min20s,[20],38
1h23min20s,[20],37
1h24min20s,[20],38
1h25min20s,[20],35
1h26min20s,[20],36
1h27min20s,[20],35
1h28min20s,[20],38
1h29min21s,[20],37
1h30min21s,[20],35
1h31min21s,[20],38
1h32min21s,[20],37
1h33min21s,[20],35
1h34min21s,[20],35
1h35min21s,[20],42
1h36min21s,[20],38
1h37min21s,[20],36
1h38min21s,[20],38
1h39min21s,[20],51
