time,mean_reward,mean_length
0h1min0s,[0],1000
0h2min1s,[0],1000
0h3min1s,[0],1000
0h4min2s,[0],1000
0h5min3s,[0],1000
0h6min4s,[0],1000
0h7min5s,[0],1000
0h8min5s,[0],1000
0h9min6s,[20],218
0h10min6s,[20],588
0h11min7s,[0],194
0h12min7s,[20],282
0h13min7s,[0],718
0h14min8s,[0],1000
0h15min9s,[20],144
0h16min9s,[0],856
0h17min10s,[20],246
0h18min10s,[20],224
0h19min10s,[20],231
0h20min10s,[0],299
0h21min10s,[20],111
0h22min11s,[20],260
0h23min11s,[20],518
0h24min11s,[0],111
0h25min11s,[0],1000
0h26min12s,[20],960
0h27min13s,[0],40
0h28min13s,[20],271
0h29min13s,[20],519
0h30min14s,[0],210
0h31min14s,[0],1000
0h32min15s,[20],61
0h33min15s,[0],939
0h34min16s,[0],1000
0h35min16s,[20],54
0h36min16s,[0],946
0h37min17s,[20],50
0h38min17s,[20],57
0h39min17s,[20],46
0h40min17s,[20],43
0h41min17s,[20],37
0h42min17s,[20],41
0h43min18s,[20],37
0h44min18s,[20],38
0h45min18s,[20],37
0h46min18s,[20],37
0h47min18s,[20],37
0h48min18s,[20],41
0h49min18s,[20],35
0h50min18s,[20],37
0h51min18s,[20],42
0h52min18s,[20],40
0h53min18s,[20],36
0h54min18s,[20],34
0h55min18s,[20],43
0h56min18s,[20],38
0h57min18s,[20],35
0h58min18s,[20],34
0h59min18s,[20],34
1h0min18s,[20],40
1h1min18s,[20],39
1h2min18s,[0],12
1h3min18s,[20],36
1h4min18s,[20],39
1h5min19s,[20],32
1h6min19s,[20],36
1h7min19s,[20],36
1h8min19s,[20],37
1h9min19s,[20],41
1h10min19s,[20],38
1h11min19s,[20],37
1h12min19s,[20],35
1h13min19s,[20],35
1h14min19s,[20],34
1h15min19s,[20],38
1h16min19s,[20],40
1h17min19s,[20],41
1h18min19s,[20],41
1h19min19s,[20],34
1h20min19s,[20],36
1h21min19s,[20],37
1h22min19s,[20],42
1h23min19s,[20],35
1h24min19s,[20],39
1h25min20s,[20],35
1h26min20s,[20],39
1h27min20s,[20],35
1h28min20s,[20],38
1h29min20s,[0],34
1h30min20s,[20],35
1h31min20s,[20],37
1h32min20s,[20],35
1h33min20s,[20],184
1h34min20s,[20],44
1h35min20s,[0],665
1h36min21s,[20],51
1h37min21s,[0],949
1h38min22s,[0],1000
1h39min22s,[0],1000
