time,mean_reward,mean_length
0h1min0s,[0],1000
0h2min1s,[0],1000
0h3min1s,[0],1000
0h4min2s,[0],1000
0h5min3s,[0],1000
0h6min4s,[0],1000
0h7min5s,[0],1000
0h8min5s,[0],1000
0h9min6s,[0],1000
0h10min7s,[0],1000
0h11min8s,[20],893
0h12min9s,[0],107
0h13min9s,[20],494
0h14min9s,[0],506
0h15min10s,[0],1000
0h16min10s,[20],161
0h17min10s,[0],839
0h18min11s,[0],1000
0h19min12s,[20],163
0h20min12s,[20],210
0h21min12s,[0],627
0h22min13s,[20],303
0h23min13s,[0],697
0h24min14s,[0],1000
0h25min14s,[20],350
0h26min15s,[20],201
0h27min15s,[20],259
0h28min15s,[20],127
0h29min15s,[0],63
0h30min15s,[20],127
0h31min15s,[20],122
0h32min16s,[20],631
0h33min16s,[0],120
0h34min16s,[20],221
0h35min16s,[20],140
0h36min17s,[20],108
0h37min17s,[20],87
0h38min17s,[20],47
0h39min17s,[20],39
0h40min17s,[20],43
0h41min17s,[20],44
0h42min17s,[20],44
0h43min17s,[20],37
0h44min17s,[20],38
0h45min17s,[20],37
0h46min17s,[20],34
0h47min17s,[20],43
0h48min17s,[20],37
0h49min17s,[0],1
0h50min17s,[20],35
0h51min17s,[20],34
0h52min17s,[20],36
0h53min17s,[20],44
0h54min17s,[20],44
0h55min18s,[20],35
0h56min18s,[20],37
0h57min18s,[20],35
0h58min18s,[20],35
0h59min18s,[20],33
1h0min18s,[20],35
1h1min18s,[20],35
1h2min18s,[20],36
1h3min18s,[20],35
1h4min18s,[20],33
1h5min18s,[20],36
1h6min18s,[20],39
1h7min18s,[20],34
1h8min18s,[20],36
1h9min18s,[20],34
1h10min18s,[20],35
1h11min18s,[20],35
1h12min18s,[20],36
1h13min18s,[20],33
1h14min18s,[20],35
1h15min18s,[20],36
1h16min19s,[20],37
1h17min19s,[100],32
1h18min19s,[20],37
1h19min19s,[20],35
1h20min19s,[20],34
1h21min19s,[20],36
1h22min19s,[0],858
1h23min19s,[20],35
1h24min20s,[20],35
1h25min20s,[20],36
1h26min20s,[20],38
1h27min20s,[20],36
1h28min20s,[20],36
1h29min20s,[20],37
1h30min20s,[20],35
1h31min20s,[20],40
1h32min20s,[0],672
1h33min20s,[20],36
1h34min21s,[20],38
1h35min21s,[20],35
1h36min21s,[20],35
1h37min21s,[20],36
1h38min21s,[20],38
1h39min21s,[20],38
