time,mean_reward,mean_length
0h1min0s,[0],1000
0h2min0s,[0],1000
0h3min1s,[0],1000
0h4min2s,[0],1000
0h5min3s,[0],529
0h6min3s,[0],471
0h7min3s,[0],1000
0h8min4s,[0],1000
0h9min5s,[0],421
0h10min5s,[0],313
0h11min5s,[0],266
0h12min6s,[0],215
0h13min6s,[0],785
0h14min6s,[0],201
0h15min7s,[0],99
0h16min7s,[100],522
0h17min7s,[0],178
0h18min7s,[0],49
0h19min7s,[0],39
0h20min7s,[0],40
0h21min7s,[0],39
0h22min7s,[0],43
0h23min7s,[0],37
0h24min7s,[0],41
0h25min8s,[0],36
0h26min8s,[0],41
0h27min8s,[0],37
0h28min8s,[0],49
0h29min8s,[0],35
0h30min8s,[0],37
0h31min8s,[0],43
0h32min8s,[0],42
0h33min8s,[0],38
0h34min8s,[0],38
0h35min8s,[0],37
0h36min8s,[0],35
0h37min8s,[0],43
0h38min8s,[0],38
0h39min8s,[0],38
0h40min8s,[0],35
0h41min8s,[0],38
0h42min8s,[0],35
0h43min8s,[0],17
0h44min8s,[0],41
0h45min8s,[0],38
0h46min8s,[0],38
0h47min8s,[0],38
0h48min8s,[0],37
0h49min9s,[0],36
0h50min9s,[0],36
0h51min9s,[0],37
0h52min9s,[0],37
0h53min9s,[0],35
0h54min9s,[0],35
0h55min9s,[0],38
0h56min9s,[0],39
0h57min9s,[0],36
0h58min9s,[0],36
0h59min9s,[0],33
1h0min9s,[0],35
1h1min9s,[0],39
1h2min9s,[0],35
1h3min9s,[0],35
1h4min9s,[0],38
1h5min9s,[0],41
1h6min9s,[0],38
1h7min9s,[0],35
1h8min9s,[0],39
1h9min9s,[0],36
1h10min9s,[0],34
1h11min9s,[0],5
1h12min9s,[0],39
1h13min10s,[0],33
1h14min10s,[0],39
1h15min10s,[0],36
1h16min10s,[0],853
1h17min10s,[0],1000
1h18min11s,[0],1000
1h19min12s,[0],1000
