time,mean_reward,mean_length
0h1min0s,[0],1000
0h2min0s,[0],1000
0h3min1s,[0],1000
0h4min2s,[0],662
0h5min2s,[0],338
0h6min3s,[0],1000
0h7min3s,[0],1000
0h8min4s,[0],1000
0h9min5s,[0],1000
0h10min6s,[0],1000
0h11min6s,[0],189
0h12min7s,[0],548
0h13min7s,[0],210
0h14min7s,[0],53
0h15min7s,[0],165
0h16min7s,[0],139
0h17min7s,[0],60
0h18min7s,[0],50
0h19min7s,[0],64
0h20min8s,[0],40
0h21min8s,[0],41
0h22min8s,[0],37
0h23min8s,[0],41
0h24min8s,[0],35
0h25min8s,[0],37
0h26min8s,[0],37
0h27min8s,[0],44
0h28min8s,[0],44
0h29min8s,[0],38
0h30min8s,[0],42
0h31min8s,[0],55
0h32min8s,[0],31
0h33min8s,[0],39
0h34min8s,[0],35
0h35min8s,[0],35
0h36min8s,[0],39
0h37min8s,[0],40
0h38min8s,[0],37
0h39min8s,[0],35
0h40min8s,[0],39
0h41min8s,[0],33
0h42min8s,[0],37
0h43min9s,[0],37
0h44min9s,[0],35
0h45min9s,[0],40
0h46min9s,[0],35
0h47min9s,[0],36
0h48min9s,[0],36
0h49min9s,[0],34
0h50min9s,[0],34
0h51min9s,[0],37
0h52min9s,[0],36
0h53min9s,[0],38
0h54min9s,[0],38
0h55min9s,[0],34
0h56min9s,[0],33
0h57min9s,[0],37
0h58min9s,[0],38
0h59min9s,[0],34
1h0min9s,[0],19
1h1min9s,[0],35
1h2min9s,[0],38
1h3min9s,[0],36
1h4min9s,[0],33
1h5min9s,[0],35
1h6min9s,[0],37
1h7min9s,[0],39
1h8min10s,[0],32
1h9min10s,[0],37
1h10min10s,[0],37
1h11min10s,[0],36
1h12min10s,[0],38
1h13min10s,[0],36
1h14min10s,[0],37
1h15min10s,[0],34
1h16min10s,[0],38
1h17min10s,[0],36
1h18min10s,[0],36
1h19min10s,[0],38
