time,mean_reward,mean_length
0h0min30s,0.0,1500.0
0h1min2s,0.0,500.0
0h1min34s,0.0,500.0
0h2min5s,0.0,500.0
0h2min37s,0.0,500.0
0h3min9s,0.0,500.0
0h3min41s,0.0,500.0
0h4min13s,0.0,500.0
0h4min44s,0.0,1068.0
0h5min30s,10.0,1500.0
0h6min2s,10.0,509.0
0h6min33s,0.0,884.0
0h7min5s,0.0,500.0
0h7min36s,0.0,1010.0
0h8min8s,0.0,1500.0
0h8min40s,0.0,500.0
0h9min12s,0.0,500.0
0h9min44s,10.0,500.0
0h10min30s,10.0,762.0
0h11min8s,0.0,394.0
0h11min40s,10.0,372.0
0h12min12s,10.0,1500.0
0h12min44s,10.0,308.0
0h13min16s,10.0,353.0
0h13min48s,10.0,331.0
0h14min20s,10.0,1500.0
0h14min52s,0.0,305.0
0h15min23s,10.0,414.0
0h16min8s,10.0,1350.0
0h16min40s,10.0,724.0
0h17min12s,10.0,980.0
0h17min44s,10.0,1500.0
0h18min16s,10.0,349.0
0h18min48s,20.0,908.0
0h19min19s,20.0,1500.0
0h19min51s,0.0,125.0
0h20min22s,20.0,1175.0
0h21min17s,20.0,968.0
0h21min50s,20.0,1500.0
0h22min24s,0.0,117.0
0h22min57s,0.0,120.0
0h23min31s,10.0,211.0
0h24min4s,0.0,127.0
0h24min37s,10.0,152.0
0h25min11s,20.0,1500.0
0h25min44s,10.0,240.0
0h26min17s,20.0,1500.0
0h26min50s,20.0,312.0
0h27min23s,10.0,347.0
0h27min55s,100.0,483.0
0h28min26s,20.0,355.0
0h29min0s,20.0,278.0
0h29min33s,100.0,672.0
0h30min6s,100.0,540.0
0h30min38s,10.0,1500.0
0h31min17s,100.0,513.0
0h31min50s,100.0,456.0
0h32min23s,100.0,264.0
0h32min55s,100.0,544.0
0h33min26s,100.0,241.0
0h33min58s,10.0,1166.0
0h34min30s,10.0,425.0
0h35min1s,10.0,492.0
0h35min33s,100.0,344.0
0h36min17s,100.0,266.0
0h36min48s,10.0,286.0
0h37min21s,100.0,231.0
0h37min52s,10.0,760.0
0h38min24s,100.0,343.0
0h38min55s,10.0,221.0
0h39min26s,20.0,859.0
0h39min58s,100.0,301.0
0h40min28s,10.0,320.0
0h41min17s,10.0,469.0
0h41min49s,100.0,325.0
0h42min21s,100.0,541.0
0h42min52s,100.0,773.0
0h43min24s,100.0,267.0
0h43min56s,100.0,313.0
0h44min28s,100.0,254.0
0h45min0s,10.0,293.0
0h45min31s,100.0,401.0
0h46min17s,100.0,245.0
0h46min48s,100.0,770.0
0h47min20s,100.0,347.0
0h47min52s,100.0,652.0
0h48min24s,100.0,300.0
0h48min56s,100.0,346.0
0h49min27s,100.0,346.0
0h49min58s,100.0,300.0
0h50min28s,100.0,319.0
0h51min18s,100.0,331.0
0h51min50s,10.0,173.0
0h52min22s,100.0,583.0
0h52min54s,0.0,1263.0
0h53min25s,100.0,261.0
0h53min57s,10.0,513.0
0h54min29s,100.0,636.0
0h55min0s,100.0,316.0
0h55min32s,100.0,343.0
0h56min17s,0.0,72.0
0h56min48s,100.0,311.0
0h57min20s,10.0,133.0
0h57min51s,100.0,301.0
0h58min24s,100.0,341.0
0h58min55s,100.0,307.0
0h59min27s,100.0,537.0
0h59min59s,10.0,273.0
1h0min32s,100.0,237.0
1h1min18s,100.0,240.0
1h1min49s,100.0,344.0
1h2min21s,100.0,399.0
1h2min52s,10.0,254.0
1h3min24s,10.0,408.0
1h3min56s,100.0,371.0
1h4min27s,100.0,343.0
1h4min58s,10.0,155.0
1h5min30s,0.0,62.0
1h6min18s,100.0,255.0
1h6min49s,100.0,936.0
1h7min21s,10.0,277.0
1h7min52s,100.0,289.0
1h8min23s,10.0,1254.0
1h8min56s,0.0,71.0
1h9min28s,10.0,381.0
1h9min59s,100.0,231.0
1h10min30s,10.0,308.0
1h11min19s,100.0,475.0
1h11min51s,100.0,283.0
1h12min22s,0.0,152.0
1h12min54s,100.0,193.0
1h13min25s,0.0,255.0
1h13min57s,10.0,380.0
1h14min29s,100.0,230.0
1h15min0s,100.0,178.0
1h15min31s,100.0,274.0
1h16min18s,100.0,352.0
1h16min49s,0.0,822.0
1h17min21s,100.0,356.0
1h17min52s,100.0,580.0
1h18min23s,10.0,1234.0
1h18min56s,0.0,89.0
1h19min26s,10.0,745.0
1h19min58s,0.0,123.0
1h20min29s,100.0,432.0
