time,mean_reward,mean_length
0h0min30s,0.0,1500.0
0h1min2s,0.0,500.0
0h1min34s,0.0,500.0
0h2min6s,0.0,579.0
0h2min38s,10.0,767.0
0h3min9s,0.0,481.0
0h3min41s,0.0,500.0
0h4min13s,0.0,60.0
0h4min43s,10.0,753.0
0h5min30s,0.0,87.0
0h6min1s,0.0,1500.0
0h6min33s,0.0,500.0
0h7min5s,0.0,500.0
0h7min37s,10.0,942.0
0h8min8s,10.0,1000.0
0h8min38s,10.0,1500.0
0h9min22s,10.0,1298.0
0h9min55s,10.0,1500.0
0h10min27s,10.0,1500.0
0h11min0s,10.0,282.0
0h11min32s,10.0,1500.0
0h12min3s,20.0,1500.0
0h12min36s,10.0,297.0
0h13min23s,10.0,615.0
0h13min57s,0.0,199.0
0h14min31s,10.0,567.0
0h15min5s,20.0,1500.0
0h15min38s,0.0,125.0
0h16min11s,10.0,391.0
0h16min44s,20.0,522.0
0h17min17s,0.0,90.0
0h17min50s,20.0,1500.0
0h18min24s,100.0,1311.0
0h18min56s,20.0,621.0
0h19min30s,10.0,315.0
0h20min2s,20.0,493.0
0h20min36s,10.0,569.0
0h21min8s,0.0,54.0
0h21min40s,20.0,942.0
0h22min14s,0.0,99.0
0h22min46s,100.0,564.0
0h23min24s,100.0,589.0
0h23min56s,100.0,638.0
0h24min28s,0.0,157.0
0h25min0s,100.0,702.0
0h25min31s,100.0,435.0
0h26min2s,100.0,421.0
0h26min34s,100.0,499.0
0h27min7s,100.0,570.0
0h27min39s,20.0,407.0
0h28min24s,0.0,192.0
0h28min57s,10.0,381.0
0h29min29s,10.0,603.0
0h30min1s,0.0,38.0
0h30min34s,100.0,350.0
0h31min5s,100.0,565.0
0h31min37s,100.0,502.0
0h32min9s,100.0,560.0
0h32min42s,100.0,852.0
0h33min26s,10.0,660.0
0h33min59s,100.0,689.0
0h34min31s,100.0,504.0
0h35min3s,0.0,89.0
0h35min37s,10.0,334.0
0h36min9s,100.0,450.0
0h36min41s,100.0,758.0
0h37min13s,100.0,507.0
0h37min44s,100.0,429.0
0h38min25s,100.0,366.0
0h38min57s,0.0,4.0
0h39min28s,10.0,578.0
0h40min1s,10.0,503.0
0h40min32s,100.0,900.0
0h41min5s,100.0,503.0
0h41min37s,10.0,188.0
0h42min8s,0.0,62.0
0h42min40s,100.0,557.0
0h43min25s,10.0,574.0
0h43min58s,100.0,298.0
0h44min31s,0.0,279.0
0h45min2s,100.0,416.0
0h45min34s,100.0,459.0
0h46min7s,100.0,432.0
0h46min38s,0.0,125.0
0h47min10s,10.0,208.0
0h47min41s,10.0,554.0
0h48min25s,100.0,474.0
0h48min58s,10.0,294.0
0h49min30s,100.0,315.0
0h50min2s,0.0,225.0
0h50min34s,0.0,42.0
0h51min6s,100.0,467.0
0h51min38s,10.0,830.0
0h52min10s,0.0,194.0
0h52min41s,10.0,325.0
0h53min26s,10.0,451.0
0h53min58s,100.0,625.0
0h54min30s,100.0,599.0
0h55min2s,100.0,501.0
0h55min33s,100.0,410.0
0h56min6s,100.0,395.0
0h56min39s,10.0,1065.0
0h57min12s,100.0,537.0
0h57min44s,0.0,103.0
0h58min27s,100.0,530.0
0h58min58s,100.0,392.0
0h59min30s,100.0,514.0
1h0min2s,100.0,409.0
1h0min34s,0.0,202.0
1h1min5s,100.0,407.0
1h1min36s,100.0,449.0
1h2min8s,10.0,616.0
1h2min40s,100.0,571.0
1h3min27s,100.0,319.0
1h3min59s,100.0,443.0
1h4min30s,100.0,425.0
1h5min1s,10.0,409.0
1h5min34s,100.0,377.0
1h6min5s,0.0,22.0
1h6min36s,0.0,52.0
1h7min8s,0.0,346.0
1h7min40s,10.0,161.0
1h8min27s,10.0,173.0
1h8min59s,100.0,312.0
1h9min31s,10.0,638.0
1h10min4s,100.0,598.0
1h10min35s,100.0,574.0
1h11min7s,100.0,482.0
1h11min38s,0.0,34.0
1h12min9s,100.0,414.0
1h12min40s,100.0,627.0
1h13min27s,10.0,511.0
1h13min57s,100.0,593.0
1h14min28s,10.0,533.0
1h15min1s,100.0,318.0
1h15min33s,10.0,526.0
1h16min4s,100.0,436.0
1h16min37s,10.0,1094.0
1h17min7s,0.0,151.0
1h17min38s,100.0,547.0
1h18min27s,100.0,406.0
1h18min58s,100.0,460.0
1h19min29s,100.0,355.0
1h20min1s,10.0,378.0
1h20min33s,0.0,138.0
1h21min6s,100.0,437.0
1h21min38s,100.0,599.0
1h22min10s,0.0,245.0
1h22min41s,100.0,471.0
