time,mean_reward,mean_length
0h0min30s,0.0,1500.0
0h1min2s,0.0,500.0
0h1min34s,0.0,500.0
0h2min6s,0.0,500.0
0h2min38s,0.0,282.0
0h3min9s,0.0,641.0
0h3min41s,0.0,500.0
0h4min12s,0.0,500.0
0h4min44s,0.0,5.0
0h5min30s,10.0,1406.0
0h6min2s,0.0,500.0
0h6min34s,0.0,729.0
0h7min6s,10.0,500.0
0h7min37s,0.0,203.0
0h8min9s,10.0,1500.0
0h8min40s,0.0,1057.0
0h9min11s,0.0,439.0
0h9min43s,10.0,500.0
0h10min30s,0.0,946.0
0h11min2s,10.0,500.0
0h11min33s,10.0,1500.0
0h12min13s,10.0,968.0
0h12min44s,10.0,326.0
0h13min15s,10.0,1500.0
0h13min48s,10.0,319.0
0h14min20s,10.0,358.0
0h14min52s,10.0,366.0
0h15min23s,10.0,1012.0
0h15min55s,10.0,1363.0
0h16min27s,10.0,427.0
0h17min13s,10.0,332.0
0h17min45s,10.0,337.0
0h18min17s,10.0,309.0
0h18min49s,10.0,345.0
0h19min21s,10.0,351.0
0h19min53s,10.0,356.0
0h20min25s,10.0,348.0
0h20min57s,0.0,297.0
0h21min28s,10.0,390.0
0h22min13s,10.0,1500.0
0h22min46s,10.0,384.0
0h23min18s,10.0,1500.0
0h23min51s,10.0,321.0
0h24min23s,10.0,339.0
0h24min54s,10.0,602.0
0h25min26s,20.0,871.0
0h25min56s,10.0,233.0
0h26min54s,20.0,1165.0
0h27min28s,0.0,159.0
0h28min3s,0.0,121.0
0h28min36s,0.0,156.0
0h29min10s,0.0,156.0
0h29min43s,0.0,125.0
0h30min16s,10.0,161.0
0h30min49s,10.0,165.0
0h31min23s,0.0,132.0
0h31min56s,0.0,131.0
0h32min30s,10.0,167.0
0h33min4s,0.0,193.0
0h33min37s,10.0,149.0
0h34min11s,0.0,133.0
0h34min44s,0.0,150.0
0h35min17s,10.0,213.0
0h35min50s,0.0,146.0
0h36min21s,10.0,199.0
0h36min56s,10.0,234.0
0h37min30s,0.0,154.0
0h38min4s,0.0,62.0
0h38min37s,0.0,127.0
0h39min10s,0.0,79.0
0h39min43s,0.0,89.0
0h40min17s,20.0,1500.0
0h40min51s,10.0,180.0
0h41min23s,20.0,505.0
0h41min56s,100.0,1233.0
0h42min30s,0.0,123.0
0h43min2s,20.0,745.0
0h43min35s,20.0,442.0
0h44min8s,10.0,133.0
0h44min41s,10.0,158.0
0h45min13s,20.0,1500.0
0h45min47s,10.0,220.0
0h46min22s,0.0,41.0
0h46min56s,100.0,541.0
0h47min30s,100.0,482.0
0h48min1s,100.0,559.0
0h48min33s,20.0,542.0
0h49min5s,100.0,517.0
0h49min37s,10.0,1500.0
0h50min8s,100.0,529.0
0h50min40s,10.0,627.0
0h51min12s,100.0,431.0
0h51min57s,100.0,402.0
0h52min29s,0.0,123.0
0h53min0s,10.0,704.0
0h53min32s,100.0,391.0
0h54min3s,0.0,166.0
0h54min34s,100.0,457.0
0h55min5s,100.0,399.0
0h55min37s,0.0,12.0
0h56min8s,10.0,1128.0
0h56min57s,100.0,428.0
0h57min29s,100.0,443.0
0h58min1s,100.0,482.0
0h58min32s,100.0,419.0
0h59min3s,10.0,666.0
0h59min35s,100.0,534.0
1h0min7s,100.0,431.0
1h0min38s,0.0,106.0
1h1min10s,100.0,289.0
1h1min58s,100.0,451.0
1h2min28s,10.0,209.0
1h2min59s,100.0,449.0
1h3min31s,10.0,488.0
1h4min3s,100.0,341.0
1h4min35s,0.0,3.0
1h5min8s,100.0,399.0
1h5min39s,100.0,442.0
1h6min11s,0.0,17.0
1h6min57s,10.0,675.0
1h7min29s,100.0,427.0
1h8min1s,10.0,236.0
1h8min32s,100.0,370.0
1h9min3s,100.0,518.0
1h9min35s,100.0,406.0
1h10min6s,100.0,466.0
1h10min37s,0.0,29.0
1h11min8s,0.0,32.0
1h11min58s,100.0,381.0
1h12min31s,100.0,481.0
1h13min2s,0.0,72.0
1h13min34s,100.0,434.0
1h14min5s,100.0,376.0
1h14min38s,10.0,237.0
1h15min9s,0.0,26.0
1h15min41s,100.0,443.0
1h16min12s,100.0,411.0
1h16min58s,100.0,487.0
1h17min30s,0.0,569.0
1h18min3s,100.0,467.0
1h18min35s,100.0,422.0
1h19min6s,100.0,324.0
1h19min38s,100.0,303.0
1h20min10s,100.0,385.0
1h20min42s,100.0,331.0
1h21min14s,100.0,446.0
