time,mean_reward,mean_length
0h0min30s,0.0,1500.0
0h1min2s,0.0,500.0
0h1min34s,0.0,500.0
0h2min6s,0.0,500.0
0h2min38s,0.0,500.0
0h3min9s,10.0,1500.0
0h3min41s,0.0,1500.0
0h4min13s,0.0,20.0
0h4min44s,10.0,1147.0
0h5min30s,0.0,135.0
0h6min1s,10.0,1215.0
0h6min32s,10.0,1224.0
0h7min3s,10.0,1500.0
0h7min34s,10.0,785.0
0h8min6s,0.0,592.0
0h8min37s,10.0,694.0
0h9min8s,10.0,1500.0
0h9min38s,10.0,1142.0
0h10min23s,10.0,735.0
0h10min55s,10.0,291.0
0h11min29s,0.0,120.0
0h12min1s,0.0,251.0
0h12min34s,10.0,236.0
0h13min6s,10.0,1500.0
0h13min39s,0.0,267.0
0h14min13s,0.0,145.0
0h14min45s,10.0,206.0
0h15min23s,10.0,287.0
0h15min55s,20.0,1500.0
0h16min28s,0.0,179.0
0h17min0s,10.0,1500.0
0h17min33s,0.0,182.0
0h18min5s,10.0,293.0
0h18min38s,0.0,126.0
0h19min10s,10.0,1500.0
0h19min42s,0.0,240.0
0h20min23s,0.0,246.0
0h20min54s,10.0,792.0
0h21min26s,0.0,666.0
0h21min57s,20.0,1500.0
0h23min2s,0.0,288.0
0h23min34s,20.0,1500.0
0h24min8s,0.0,23.0
0h24min41s,20.0,1500.0
0h25min15s,20.0,1500.0
0h25min49s,20.0,1500.0
0h26min22s,20.0,1500.0
0h26min56s,20.0,1500.0
0h27min30s,20.0,1500.0
0h28min4s,20.0,1500.0
0h28min38s,20.0,1500.0
0h29min11s,0.0,64.0
0h29min45s,20.0,1500.0
0h30min19s,20.0,1500.0
0h30min52s,20.0,1500.0
0h31min26s,20.0,1500.0
0h31min58s,20.0,1500.0
0h32min32s,100.0,1358.0
0h33min6s,20.0,1500.0
0h33min40s,100.0,1071.0
0h34min12s,0.0,255.0
0h34min45s,10.0,427.0
0h35min17s,10.0,500.0
0h35min51s,20.0,1500.0
0h36min23s,100.0,1408.0
0h36min56s,100.0,752.0
0h37min28s,0.0,138.0
0h38min6s,10.0,612.0
0h38min38s,20.0,660.0
0h39min10s,100.0,644.0
0h39min43s,100.0,848.0
0h40min15s,100.0,633.0
0h40min47s,100.0,726.0
0h41min20s,20.0,779.0
0h41min51s,0.0,30.0
0h42min23s,100.0,681.0
0h43min6s,0.0,125.0
0h43min38s,100.0,692.0
0h44min10s,0.0,273.0
0h44min42s,100.0,669.0
0h45min15s,0.0,168.0
0h45min47s,0.0,237.0
0h46min19s,100.0,795.0
0h46min51s,10.0,774.0
0h47min22s,100.0,719.0
0h48min6s,0.0,176.0
0h48min38s,100.0,522.0
0h49min9s,20.0,849.0
0h49min41s,100.0,767.0
0h50min13s,100.0,644.0
0h50min45s,10.0,228.0
0h51min17s,100.0,572.0
0h51min49s,10.0,721.0
0h52min21s,100.0,641.0
0h53min6s,20.0,799.0
0h53min39s,0.0,172.0
0h54min10s,100.0,713.0
0h54min42s,10.0,516.0
0h55min14s,100.0,598.0
0h55min46s,100.0,698.0
0h56min18s,100.0,606.0
0h56min50s,100.0,609.0
0h57min22s,10.0,609.0
0h58min7s,10.0,272.0
0h58min38s,100.0,629.0
0h59min11s,100.0,723.0
0h59min42s,100.0,661.0
1h0min14s,100.0,699.0
1h0min47s,0.0,199.0
1h1min18s,10.0,692.0
1h1min50s,100.0,649.0
1h2min22s,100.0,699.0
1h3min7s,100.0,703.0
1h3min39s,100.0,627.0
1h4min11s,100.0,620.0
1h4min43s,100.0,544.0
1h5min15s,100.0,625.0
1h5min46s,0.0,134.0
1h6min18s,100.0,575.0
1h6min50s,10.0,594.0
1h7min22s,100.0,944.0
1h8min7s,100.0,539.0
1h8min39s,100.0,636.0
1h9min11s,100.0,711.0
1h9min43s,100.0,803.0
1h10min15s,20.0,836.0
1h10min47s,100.0,628.0
1h11min19s,100.0,843.0
1h11min51s,100.0,587.0
1h12min23s,100.0,588.0
1h13min7s,10.0,255.0
1h13min39s,100.0,828.0
1h14min11s,10.0,285.0
1h14min43s,100.0,584.0
1h15min15s,100.0,615.0
1h15min47s,100.0,650.0
1h16min18s,100.0,613.0
1h16min50s,10.0,610.0
1h17min22s,100.0,605.0
1h18min7s,0.0,178.0
1h18min38s,100.0,825.0
1h19min10s,0.0,189.0
1h19min41s,100.0,640.0
1h20min13s,100.0,663.0
1h20min46s,100.0,632.0
1h21min17s,100.0,703.0
1h21min49s,10.0,738.0
1h22min21s,100.0,690.0
