time,mean_reward,mean_length
0h1min0s,[0],1000
0h2min0s,[0],1000
0h3min1s,[0],1000
0h4min2s,[0],1000
0h5min3s,[0],908
0h6min3s,[0],92
0h7min3s,[0],321
0h8min4s,[0],679
0h9min4s,[0],1000
0h10min5s,[0],1000
0h11min6s,[0],394
0h12min6s,[0],380
0h13min6s,[0],219
0h14min6s,[0],7
0h15min7s,[0],117
0h16min7s,[0],76
0h17min7s,[0],83
0h18min7s,[0],70
0h19min7s,[0],56
0h20min7s,[0],49
0h21min7s,[0],47
0h22min7s,[0],43
0h23min7s,[0],43
0h24min7s,[0],50
0h25min7s,[0],33
0h26min7s,[0],42
0h27min7s,[0],37
0h28min7s,[0],36
0h29min7s,[0],47
0h30min7s,[0],48
0h31min7s,[0],35
0h32min7s,[0],37
0h33min7s,[0],38
0h34min7s,[0],13
0h35min7s,[0],43
0h36min8s,[0],41
0h37min8s,[0],37
0h38min8s,[0],41
0h39min8s,[0],42
0h40min8s,[0],39
0h41min8s,[0],43
0h42min8s,[0],38
0h43min8s,[0],39
0h44min8s,[0],34
0h45min8s,[0],39
0h46min8s,[0],41
0h47min8s,[0],523
0h48min8s,[0],483
0h49min9s,[0],517
0h50min9s,[0],1000
0h51min10s,[0],1000
0h52min11s,[0],1000
0h53min11s,[0],1000
0h54min12s,[0],1000
0h55min13s,[0],40
0h56min13s,[0],36
0h57min13s,[0],37
0h58min13s,[0],37
0h59min13s,[0],34
1h0min13s,[0],36
1h1min13s,[0],43
1h2min13s,[0],37
1h3min13s,[0],35
1h4min13s,[0],33
1h5min13s,[0],35
1h6min13s,[0],34
1h7min13s,[0],38
1h8min13s,[0],34
1h9min14s,[0],33
1h10min14s,[0],33
1h11min14s,[0],35
1h12min14s,[0],33
1h13min14s,[0],36
1h14min14s,[0],33
1h15min14s,[0],37
1h16min14s,[0],35
1h17min14s,[0],34
1h18min14s,[0],39
1h19min14s,[0],34
