time,mean_reward,mean_length
0h1min0s,[0],1000
0h2min0s,[20],875
0h3min1s,[0],125
0h4min1s,[0],1000
0h5min2s,[0],617
0h6min2s,[0],361
0h7min3s,[0],22
0h8min3s,[0],775
0h9min3s,[0],225
0h10min3s,[0],63
0h11min3s,[0],275
0h12min4s,[0],662
0h13min4s,[0],130
0h14min4s,[0],87
0h15min4s,[0],49
0h16min4s,[0],115
0h17min5s,[0],75
0h18min5s,[0],46
0h19min5s,[0],40
0h20min5s,[0],42
0h21min5s,[0],43
0h22min5s,[0],46
0h23min5s,[0],43
0h24min5s,[0],44
0h25min5s,[0],42
0h26min5s,[0],42
0h27min5s,[0],41
0h28min5s,[0],41
0h29min5s,[0],36
0h30min5s,[0],34
0h31min5s,[0],4
0h32min5s,[0],44
0h33min5s,[0],36
0h34min5s,[0],40
0h35min5s,[0],34
0h36min5s,[0],36
0h37min5s,[0],38
0h38min5s,[0],40
0h39min5s,[0],37
0h40min5s,[0],36
0h41min6s,[0],34
0h42min6s,[0],36
0h43min6s,[0],36
0h44min6s,[0],39
0h45min6s,[0],36
0h46min6s,[0],37
0h47min6s,[0],34
0h48min6s,[0],39
0h49min6s,[0],34
0h50min6s,[0],36
0h51min6s,[0],40
0h52min6s,[0],38
0h53min6s,[0],37
0h54min6s,[0],36
0h55min6s,[0],35
0h56min6s,[0],34
0h57min6s,[0],34
0h58min6s,[0],34
0h59min6s,[0],10
1h0min6s,[0],35
1h1min6s,[0],36
1h2min6s,[0],37
1h3min6s,[0],38
1h4min6s,[0],38
1h5min6s,[0],816
1h6min7s,[0],40
1h7min7s,[0],33
1h8min7s,[0],35
1h9min7s,[0],35
1h10min7s,[0],37
1h11min7s,[0],35
1h12min7s,[0],36
1h13min7s,[0],32
1h14min7s,[0],35
1h15min7s,[0],37
1h16min7s,[0],34
1h17min7s,[0],38
1h18min7s,[0],34
1h19min7s,[0],32
