time,mean_reward,mean_length
0h1min0s,[0],1000
0h2min0s,[0],1000
0h3min1s,[0],1000
0h4min2s,[0],1000
0h5min3s,[0],1000
0h6min3s,[0],1000
0h7min4s,[0],1000
0h8min5s,[0],1000
0h9min6s,[20],275
0h10min6s,[0],725
0h11min6s,[0],1000
0h12min7s,[20],450
0h13min8s,[0],550
0h14min8s,[20],767
0h15min9s,[0],233
0h16min9s,[0],689
0h17min9s,[0],311
0h18min9s,[0],278
0h19min10s,[0],188
0h20min10s,[0],284
0h21min10s,[0],187
0h22min10s,[0],63
0h23min10s,[0],139
0h24min10s,[0],75
0h25min10s,[0],49
0h26min10s,[0],46
0h27min11s,[0],50
0h28min11s,[0],47
0h29min11s,[0],44
0h30min11s,[0],42
0h31min11s,[0],43
0h32min11s,[0],43
0h33min11s,[0],50
0h34min11s,[0],39
0h35min11s,[0],43
0h36min11s,[0],39
0h37min11s,[0],38
0h38min11s,[0],42
0h39min11s,[0],41
0h40min11s,[0],37
0h41min11s,[0],37
0h42min11s,[0],37
0h43min11s,[0],19
0h44min11s,[0],39
0h45min11s,[0],39
0h46min11s,[0],46
0h47min11s,[0],41
0h48min11s,[0],36
0h49min11s,[0],39
0h50min11s,[0],40
0h51min11s,[0],35
0h52min11s,[0],37
0h53min12s,[0],41
0h54min12s,[0],38
0h55min12s,[0],38
0h56min12s,[0],36
0h57min12s,[0],37
0h58min12s,[0],37
0h59min12s,[0],39
1h0min12s,[0],39
1h1min12s,[0],35
1h2min12s,[0],38
1h3min12s,[0],43
1h4min12s,[0],36
1h5min12s,[0],38
1h6min12s,[0],38
1h7min12s,[0],36
1h8min12s,[0],37
1h9min12s,[0],34
1h10min12s,[0],8
1h11min12s,[0],37
1h12min12s,[0],35
1h13min12s,[0],35
1h14min12s,[0],35
1h15min12s,[20],419
1h16min13s,[0],35
1h17min13s,[0],37
1h18min13s,[0],36
1h19min13s,[0],34
