time,mean_reward,mean_length
0h1min0s,[0],1000
0h2min0s,[0],1000
0h3min1s,[0],1000
0h4min2s,[0],1000
0h5min3s,[0],1000
0h6min3s,[0],210
0h7min4s,[0],271
0h8min4s,[0],220
0h9min4s,[0],299
0h10min4s,[20],772
0h11min5s,[0],228
0h12min5s,[0],239
0h13min5s,[0],278
0h14min5s,[0],216
0h15min6s,[0],267
0h16min6s,[20],916
0h17min7s,[0],84
0h18min7s,[0],199
0h19min7s,[0],98
0h20min7s,[0],112
0h21min7s,[0],73
0h22min7s,[0],81
0h23min7s,[0],61
0h24min7s,[0],52
0h25min7s,[0],47
0h26min7s,[0],46
0h27min7s,[0],36
0h28min7s,[0],38
0h29min7s,[0],35
0h30min7s,[0],40
0h31min7s,[0],40
0h32min7s,[0],39
0h33min8s,[0],3
0h34min8s,[0],41
0h35min8s,[0],43
0h36min8s,[0],37
0h37min8s,[0],39
0h38min8s,[0],43
0h39min8s,[0],41
0h40min8s,[0],42
0h41min8s,[0],38
0h42min8s,[0],39
0h43min8s,[0],41
0h44min8s,[0],36
0h45min8s,[0],38
0h46min8s,[0],39
0h47min8s,[0],39
0h48min8s,[0],33
0h49min8s,[0],34
0h50min8s,[0],35
0h51min8s,[0],37
0h52min8s,[0],35
0h53min8s,[0],35
0h54min8s,[0],34
0h55min8s,[0],38
0h56min8s,[0],36
0h57min8s,[0],36
0h58min9s,[0],41
0h59min9s,[0],43
1h0min9s,[0],7
1h1min9s,[0],37
1h2min9s,[0],34
1h3min9s,[0],40
1h4min9s,[0],35
1h5min9s,[0],39
1h6min9s,[20],242
1h7min9s,[0],573
1h8min9s,[0],1000
1h9min10s,[0],1000
1h10min11s,[0],1000
1h11min12s,[0],35
1h12min12s,[0],39
1h13min12s,[0],35
1h14min12s,[0],33
1h15min12s,[0],35
1h16min12s,[0],36
1h17min12s,[0],42
1h18min12s,[0],39
1h19min12s,[0],34
