time,mean_reward,mean_length
0h1min0s,[0],1000
0h2min0s,[0],1000
0h3min1s,[0],1000
0h4min2s,[0],1000
0h5min3s,[0],1000
0h6min3s,[0],1000
0h7min4s,[20],474
0h8min5s,[0],526
0h9min5s,[0],1000
0h10min6s,[0],1000
0h11min6s,[0],487
0h12min7s,[0],513
0h13min7s,[0],532
0h14min8s,[0],468
0h15min8s,[0],1000
0h16min9s,[20],751
0h17min9s,[0],220
0h18min9s,[0],29
0h19min9s,[0],125
0h20min10s,[0],72
0h21min10s,[0],44
0h22min10s,[0],58
0h23min10s,[0],45
0h24min10s,[0],37
0h25min10s,[0],41
0h26min10s,[0],39
0h27min10s,[0],40
0h28min10s,[0],39
0h29min10s,[0],38
0h30min10s,[0],37
0h31min10s,[0],42
0h32min10s,[0],37
0h33min10s,[0],41
0h34min10s,[0],35
0h35min10s,[0],41
0h36min10s,[0],36
0h37min10s,[0],36
0h38min10s,[0],37
0h39min10s,[0],42
0h40min10s,[0],37
0h41min11s,[0],1
0h42min11s,[0],39
0h43min11s,[0],37
0h44min11s,[0],41
0h45min11s,[0],42
0h46min11s,[0],36
0h47min11s,[0],42
0h48min11s,[0],35
0h49min11s,[0],34
0h50min11s,[0],36
0h51min11s,[0],35
0h52min11s,[0],38
0h53min11s,[0],36
0h54min11s,[0],39
0h55min11s,[0],38
0h56min11s,[0],35
0h57min11s,[0],37
0h58min11s,[0],36
0h59min11s,[0],35
1h0min11s,[0],37
1h1min11s,[0],36
1h2min11s,[0],35
1h3min11s,[0],221
1h4min12s,[0],38
1h5min12s,[0],41
1h6min12s,[0],32
1h7min12s,[0],36
1h8min12s,[0],38
1h9min12s,[0],39
1h10min12s,[0],37
1h11min12s,[0],36
1h12min12s,[0],35
1h13min12s,[0],35
1h14min12s,[0],37
1h15min12s,[0],40
1h16min12s,[0],37
1h17min12s,[0],36
1h18min12s,[0],483
1h19min12s,[20],446
