time,mean_reward,mean_length
0h1min0s,[0],1000
0h2min0s,[0],1000
0h3min1s,[0],1000
0h4min2s,[0],1000
0h5min3s,[0],1000
0h6min4s,[0],1000
0h7min4s,[0],1000
0h8min5s,[0],1000
0h9min6s,[20],618
0h10min6s,[0],382
0h11min7s,[20],430
0h12min7s,[0],570
0h13min7s,[20],296
0h14min8s,[0],704
0h15min8s,[0],1000
0h16min9s,[0],1000
0h17min10s,[20],216
0h18min10s,[20],342
0h19min10s,[0],442
0h20min10s,[20],681
0h21min11s,[20],194
0h22min11s,[0],125
0h23min11s,[20],329
0h24min11s,[0],671
0h25min12s,[20],479
0h26min12s,[20],131
0h27min12s,[20],257
0h28min13s,[100],133
0h29min13s,[20],113
0h30min13s,[0],887
0h31min13s,[0],1000
0h32min14s,[0],1000
0h33min15s,[20],188
0h34min15s,[0],812
0h35min16s,[20],50
0h36min16s,[20],45
0h37min16s,[20],49
0h38min16s,[20],45
0h39min16s,[20],38
0h40min16s,[20],41
0h41min16s,[20],39
0h42min16s,[20],39
0h43min16s,[20],50
0h44min16s,[20],36
0h45min16s,[20],41
0h46min16s,[20],41
0h47min16s,[20],37
0h48min16s,[20],41
0h49min16s,[20],42
0h50min16s,[20],34
0h51min16s,[20],47
0h52min16s,[20],40
0h53min17s,[20],38
0h54min17s,[20],39
0h55min17s,[20],41
0h56min17s,[20],38
0h57min17s,[20],36
0h58min17s,[20],41
0h59min17s,[0],12
1h0min17s,[20],37
1h1min17s,[20],38
1h2min17s,[20],34
1h3min17s,[20],40
1h4min17s,[20],38
1h5min17s,[20],40
1h6min17s,[20],35
1h7min17s,[20],35
1h8min17s,[20],41
1h9min17s,[20],38
1h10min17s,[20],42
1h11min17s,[20],36
1h12min17s,[20],39
1h13min17s,[20],39
1h14min17s,[20],36
1h15min17s,[20],40
1h16min18s,[20],39
1h17min18s,[20],37
1h18min18s,[20],39
1h19min18s,[20],39
