time,mean_reward,mean_length
0h1min0s,[0],1000
0h2min1s,[0],1000
0h3min2s,[0],1000
0h4min3s,[0],1000
0h5min4s,[0],1000
0h6min5s,[20],321
0h7min5s,[0],679
0h8min6s,[0],1000
0h9min6s,[0],1000
0h10min7s,[20],639
0h11min8s,[0],361
0h12min8s,[20],166
0h13min8s,[20],267
0h14min9s,[20],544
0h15min9s,[0],23
0h16min9s,[20],653
0h17min10s,[0],347
0h18min10s,[0],1000
0h19min11s,[20],188
0h20min11s,[0],812
0h21min12s,[0],1000
0h22min13s,[20],198
0h23min13s,[20],130
0h24min13s,[20],194
0h25min13s,[20],192
0h26min14s,[20],228
0h27min14s,[0],58
0h28min14s,[20],600
0h29min14s,[20],373
0h30min15s,[0],27
0h31min15s,[0],1000
0h32min16s,[20],108
0h33min16s,[20],125
0h34min16s,[20],136
0h35min16s,[20],295
0h36min16s,[20],169
0h37min16s,[0],167
0h38min17s,[20],63
0h39min17s,[20],55
0h40min17s,[20],43
0h41min17s,[20],43
0h42min17s,[20],42
0h43min17s,[20],40
0h44min17s,[20],46
0h45min17s,[20],48
0h46min17s,[20],40
0h47min17s,[20],39
0h48min17s,[20],41
0h49min17s,[20],39
0h50min17s,[20],42
0h51min17s,[20],42
0h52min17s,[20],44
0h53min17s,[20],40
0h54min17s,[20],42
0h55min17s,[20],40
0h56min17s,[20],48
0h57min18s,[20],42
0h58min18s,[20],47
0h59min18s,[20],43
1h0min18s,[0],31
1h1min18s,[20],38
1h2min18s,[20],40
1h3min18s,[20],39
1h4min18s,[20],37
1h5min18s,[20],39
1h6min18s,[20],40
1h7min18s,[20],37
1h8min18s,[20],37
1h9min18s,[20],37
1h10min18s,[20],36
1h11min18s,[20],39
1h12min18s,[20],41
1h13min18s,[20],39
1h14min18s,[20],36
1h15min18s,[20],43
1h16min18s,[20],39
1h17min18s,[20],39
1h18min19s,[20],47
1h19min19s,[20],36
1h20min19s,[20],37
1h21min19s,[20],95
1h22min19s,[20],68
1h23min19s,[20],46
1h24min19s,[0],15
1h25min19s,[20],38
1h26min19s,[20],40
1h27min19s,[20],45
1h28min19s,[20],44
1h29min19s,[20],44
1h30min19s,[20],46
1h31min19s,[20],36
1h32min19s,[20],38
1h33min19s,[20],39
1h34min19s,[20],41
1h35min19s,[20],61
1h36min19s,[0],528
1h37min20s,[0],1000
1h38min21s,[20],90
1h39min21s,[20],78
