time,mean_reward,mean_length
0h1min0s,[0],1000
0h2min1s,[0],1000
0h3min1s,[0],1000
0h4min2s,[0],1000
0h5min3s,[0],1000
0h6min4s,[0],1000
0h7min5s,[0],1000
0h8min6s,[20],225
0h9min6s,[20],177
0h10min6s,[20],197
0h11min6s,[0],401
0h12min6s,[20],358
0h13min7s,[20],361
0h14min7s,[0],281
0h15min7s,[0],1000
0h16min8s,[0],1000
0h17min9s,[0],1000
0h18min10s,[0],1000
0h19min11s,[20],529
0h20min11s,[20],469
0h21min11s,[0],2
0h22min11s,[20],291
0h23min12s,[0],709
0h24min12s,[0],1000
0h25min13s,[20],540
0h26min14s,[0],460
0h27min14s,[20],214
0h28min15s,[20],182
0h29min15s,[20],540
0h30min15s,[0],64
0h31min15s,[20],284
0h32min15s,[20],223
0h33min16s,[20],147
0h34min16s,[0],346
0h35min16s,[20],82
0h36min16s,[20],80
0h37min16s,[20],93
0h38min16s,[20],53
0h39min16s,[20],77
0h40min16s,[20],48
0h41min17s,[20],90
0h42min17s,[20],44
0h43min17s,[20],39
0h44min17s,[20],41
0h45min17s,[20],39
0h46min17s,[20],41
0h47min17s,[20],36
0h48min17s,[20],39
0h49min17s,[20],37
0h50min17s,[20],35
0h51min17s,[20],40
0h52min17s,[20],39
0h53min17s,[20],37
0h54min17s,[0],10
0h55min17s,[20],42
0h56min17s,[20],35
0h57min17s,[20],39
0h58min17s,[20],40
0h59min17s,[20],40
1h0min17s,[20],40
1h1min17s,[20],39
1h2min18s,[20],44
1h3min18s,[20],42
1h4min18s,[20],42
1h5min18s,[20],39
1h6min18s,[20],38
1h7min18s,[20],37
1h8min18s,[20],38
1h9min18s,[20],35
1h10min18s,[20],39
1h11min18s,[20],44
1h12min18s,[20],37
1h13min18s,[20],39
1h14min18s,[20],40
1h15min18s,[20],39
1h16min18s,[20],48
1h17min18s,[20],36
1h18min18s,[20],41
1h19min18s,[20],38
1h20min18s,[0],9
1h21min18s,[20],41
1h22min18s,[20],45
1h23min19s,[20],45
1h24min19s,[20],73
1h25min19s,[20],52
1h26min19s,[20],98
1h27min19s,[0],646
1h28min19s,[20],37
1h29min19s,[20],48
1h30min19s,[20],53
1h31min20s,[20],37
1h32min20s,[20],44
1h33min20s,[20],47
1h34min20s,[20],51
1h35min20s,[0],683
1h36min20s,[20],64
1h37min20s,[20],81
1h38min20s,[20],113
1h39min21s,[20],248
