time,mean_reward,mean_length
0h1min0s,[0],1000
0h2min1s,[0],1000
0h3min1s,[0],1000
0h4min2s,[0],1000
0h5min3s,[0],1000
0h6min3s,[0],1000
0h7min4s,[0],1000
0h8min5s,[0],1000
0h9min6s,[0],1000
0h10min7s,[20],388
0h11min7s,[0],612
0h12min7s,[20],293
0h13min8s,[20],389
0h14min8s,[0],318
0h15min8s,[0],1000
0h16min9s,[20],527
0h17min9s,[0],473
0h18min10s,[20],673
0h19min10s,[0],327
0h20min10s,[0],1000
0h21min11s,[0],1000
0h22min12s,[20],427
0h23min12s,[0],573
0h24min13s,[20],568
0h25min13s,[20],106
0h26min13s,[20],167
0h27min13s,[0],159
0h28min13s,[20],77
0h29min14s,[20],548
0h30min14s,[0],375
0h31min14s,[20],71
0h32min14s,[0],929
0h33min15s,[20],63
0h34min15s,[20],41
0h35min15s,[20],48
0h36min15s,[20],47
0h37min15s,[20],40
0h38min15s,[20],41
0h39min15s,[20],43
0h40min15s,[20],42
0h41min15s,[20],39
0h42min15s,[20],38
0h43min15s,[20],42
0h44min16s,[20],39
0h45min16s,[20],40
0h46min16s,[20],40
0h47min16s,[20],43
0h48min16s,[20],42
0h49min16s,[20],40
0h50min16s,[20],40
0h51min16s,[20],42
0h52min16s,[20],41
0h53min16s,[20],41
0h54min16s,[20],36
0h55min16s,[20],38
0h56min16s,[0],34
0h57min16s,[20],39
0h58min16s,[20],40
0h59min16s,[20],39
1h0min16s,[20],38
1h1min16s,[20],36
1h2min16s,[20],35
1h3min16s,[20],38
1h4min16s,[20],43
1h5min16s,[20],38
1h6min17s,[20],43
1h7min17s,[20],39
1h8min17s,[20],40
1h9min17s,[20],36
1h10min17s,[20],36
1h11min17s,[0],460
1h12min17s,[20],41
1h13min17s,[20],40
1h14min17s,[20],41
1h15min17s,[20],35
1h16min17s,[20],49
1h17min17s,[20],44
1h18min17s,[20],44
1h19min17s,[20],42
