time,mean_reward,mean_length
0h1min0s,[0],1000
0h2min0s,[0],1000
0h3min1s,[0],1000
0h4min2s,[0],1000
0h5min3s,[0],1000
0h6min3s,[20],810
0h7min4s,[0],190
0h8min4s,[0],1000
0h9min5s,[0],1000
0h10min6s,[20],302
0h11min6s,[20],312
0h12min6s,[0],386
0h13min7s,[0],1000
0h14min7s,[20],930
0h15min8s,[0],70
0h16min8s,[0],1000
0h17min9s,[0],1000
0h18min9s,[20],329
0h19min10s,[0],671
0h20min10s,[0],1000
0h21min11s,[20],328
0h22min11s,[0],672
0h23min12s,[20],513
0h24min12s,[0],487
0h25min13s,[20],126
0h26min13s,[20],378
0h27min13s,[0],496
0h28min13s,[0],1000
0h29min14s,[0],1000
0h30min15s,[0],1000
0h31min16s,[20],666
0h32min16s,[20],136
0h33min16s,[0],198
0h34min16s,[20],233
0h35min17s,[20],153
0h36min17s,[20],82
0h37min17s,[20],82
0h38min17s,[20],71
0h39min17s,[20],48
0h40min17s,[20],45
0h41min17s,[20],58
0h42min17s,[20],39
0h43min17s,[20],39
0h44min17s,[20],39
0h45min17s,[20],39
0h46min17s,[20],36
0h47min17s,[20],36
0h48min17s,[20],36
0h49min17s,[20],46
0h50min17s,[20],36
0h51min17s,[20],33
0h52min17s,[20],37
0h53min18s,[20],37
0h54min18s,[20],37
0h55min18s,[20],37
0h56min18s,[20],37
0h57min18s,[20],38
0h58min18s,[20],35
0h59min18s,[20],35
1h0min18s,[20],36
1h1min18s,[20],39
1h2min18s,[20],34
1h3min18s,[20],36
1h4min18s,[20],34
1h5min18s,[20],35
1h6min18s,[20],35
1h7min18s,[20],35
1h8min18s,[20],36
1h9min18s,[20],35
1h10min18s,[20],36
1h11min18s,[20],34
1h12min18s,[20],34
1h13min18s,[20],34
1h14min18s,[20],33
1h15min18s,[0],30
1h16min18s,[20],37
1h17min18s,[20],35
1h18min18s,[20],36
1h19min19s,[20],35
