time,mean_reward,mean_length
0h1min0s,[0],1000
0h2min0s,[0],1000
0h3min1s,[0],220
0h4min1s,[0],780
0h5min2s,[100],722
0h6min2s,[0],278
0h7min3s,[100],457
0h8min3s,[0],543
0h9min3s,[0],320
0h10min4s,[0],680
0h11min4s,[0],402
0h12min5s,[0],598
0h13min5s,[100],784
0h14min6s,[0],216
0h15min6s,[0],385
0h16min6s,[0],483
0h17min6s,[0],132
0h18min7s,[0],54
0h19min7s,[0],39
0h20min7s,[0],43
0h21min7s,[0],43
0h22min7s,[0],49
0h23min7s,[0],37
0h24min7s,[0],34
0h25min7s,[0],41
0h26min7s,[0],39
0h27min7s,[0],36
0h28min7s,[0],41
0h29min7s,[0],35
0h30min7s,[0],34
0h31min7s,[0],35
0h32min7s,[0],36
0h33min7s,[0],40
0h34min7s,[0],37
0h35min7s,[0],40
0h36min7s,[0],40
0h37min7s,[0],36
0h38min7s,[0],38
0h39min7s,[0],41
0h40min7s,[0],37
0h41min8s,[0],37
0h42min8s,[0],58
0h43min8s,[0],41
0h44min8s,[0],40
0h45min8s,[0],39
0h46min8s,[0],41
0h47min8s,[0],34
0h48min8s,[0],36
0h49min8s,[0],35
0h50min8s,[0],35
0h51min8s,[0],34
0h52min8s,[0],41
0h53min8s,[0],33
0h54min8s,[0],34
0h55min8s,[0],36
0h56min8s,[0],35
0h57min8s,[0],35
0h58min8s,[0],32
0h59min8s,[0],41
1h0min8s,[0],35
1h1min8s,[0],35
1h2min8s,[0],37
1h3min8s,[0],35
1h4min8s,[0],31
1h5min8s,[0],33
1h6min8s,[0],36
1h7min9s,[0],38
1h8min9s,[0],38
1h9min9s,[0],35
1h10min9s,[0],25
1h11min9s,[0],34
1h12min9s,[0],35
1h13min9s,[0],36
1h14min9s,[0],31
1h15min9s,[0],864
1h16min9s,[0],1000
1h17min10s,[0],567
1h18min11s,[0],433
1h19min11s,[0],1000
