time,mean_reward,mean_length
0h1min0s,[0],1000
0h2min0s,[100],719
0h3min1s,[0],206
0h4min1s,[0],75
0h5min1s,[0],1000
0h6min2s,[0],1000
0h7min3s,[0],1000
0h8min3s,[0],578
0h9min4s,[0],422
0h10min4s,[0],1000
0h11min5s,[100],779
0h12min5s,[0],221
0h13min6s,[0],197
0h14min6s,[0],128
0h15min6s,[0],89
0h16min6s,[0],122
0h17min6s,[0],86
0h18min6s,[0],214
0h19min6s,[0],52
0h20min6s,[0],44
0h21min6s,[0],44
0h22min6s,[0],24
0h23min7s,[0],43
0h24min7s,[0],47
0h25min7s,[0],43
0h26min7s,[0],40
0h27min7s,[0],39
0h28min7s,[0],42
0h29min7s,[0],42
0h30min7s,[0],34
0h31min7s,[0],46
0h32min7s,[0],37
0h33min7s,[0],42
0h34min7s,[0],40
0h35min7s,[0],35
0h36min7s,[0],37
0h37min7s,[0],39
0h38min7s,[0],38
0h39min7s,[0],35
0h40min7s,[0],35
0h41min7s,[0],36
0h42min7s,[0],34
0h43min7s,[0],38
0h44min7s,[0],39
0h45min7s,[0],139
0h46min8s,[0],1000
0h47min8s,[0],1000
0h48min9s,[0],35
0h49min9s,[0],35
0h50min9s,[0],34
0h51min9s,[0],37
0h52min9s,[0],35
0h53min9s,[0],36
0h54min9s,[0],34
0h55min9s,[0],33
0h56min9s,[0],35
0h57min9s,[0],35
0h58min9s,[0],36
0h59min9s,[0],35
1h0min9s,[0],35
1h1min9s,[0],36
1h2min10s,[0],32
1h3min10s,[0],37
1h4min10s,[0],40
1h5min10s,[0],38
1h6min10s,[0],43
1h7min10s,[0],34
1h8min10s,[0],35
1h9min10s,[0],37
1h10min10s,[0],33
1h11min10s,[0],33
1h12min10s,[0],38
1h13min10s,[0],36
1h14min10s,[0],73
1h15min10s,[0],338
1h16min10s,[0],662
1h17min11s,[0],1000
1h18min12s,[0],1000
1h19min12s,[0],1000
