time,mean_reward,mean_length
0h1min0s,[0],1000
0h2min0s,[0],1000
0h3min1s,[100],897
0h4min2s,[0],103
0h5min2s,[0],1000
0h6min3s,[0],1000
0h7min3s,[100],605
0h8min4s,[0],395
0h9min4s,[0],1000
0h10min5s,[100],444
0h11min5s,[0],556
0h12min6s,[0],1000
0h13min7s,[100],867
0h14min7s,[0],133
0h15min7s,[100],350
0h16min8s,[0],244
0h17min8s,[0],142
0h18min8s,[0],264
0h19min8s,[0],147
0h20min8s,[0],853
0h21min9s,[0],118
0h22min9s,[100],815
0h23min10s,[0],67
0h24min10s,[0],116
0h25min10s,[0],83
0h26min10s,[0],50
0h27min10s,[0],51
0h28min10s,[0],45
0h29min10s,[0],44
0h30min10s,[0],41
0h31min10s,[0],41
0h32min10s,[0],39
0h33min10s,[0],44
0h34min10s,[0],37
0h35min10s,[0],42
0h36min10s,[0],34
0h37min10s,[0],39
0h38min10s,[0],36
0h39min10s,[0],38
0h40min10s,[0],45
0h41min10s,[0],33
0h42min11s,[0],36
0h43min11s,[0],34
0h44min11s,[0],38
0h45min11s,[0],33
0h46min11s,[0],1
0h47min11s,[0],38
0h48min11s,[0],35
0h49min11s,[0],37
0h50min11s,[0],40
0h51min11s,[0],36
0h52min11s,[0],38
0h53min11s,[0],39
0h54min11s,[0],36
0h55min11s,[0],37
0h56min11s,[0],32
0h57min11s,[0],33
0h58min11s,[0],37
0h59min11s,[0],39
1h0min11s,[0],36
1h1min11s,[0],39
1h2min11s,[0],34
1h3min11s,[0],35
1h4min11s,[0],35
1h5min11s,[0],35
1h6min11s,[0],32
1h7min11s,[0],38
1h8min11s,[0],34
1h9min12s,[0],35
1h10min12s,[0],33
1h11min12s,[0],34
1h12min12s,[0],41
1h13min12s,[0],33
1h14min12s,[0],29
1h15min12s,[0],33
1h16min12s,[0],35
1h17min12s,[0],36
1h18min12s,[0],37
1h19min12s,[0],38
