time,mean_reward,mean_length
0h0min49s,0,1.4
0h1min19s,0,2.4
0h1min50s,0,1.6
0h2min30s,0,1.0
0h3min21s,0,9.0
0h4min18s,0,3.0
0h4min56s,0,2.8
0h5min49s,0,8.0
0h6min32s,0,4.6
0h7min9s,0,8.2
0h7min40s,10,9.8
0h8min12s,0,10.0
0h8min56s,0,1.8
0h9min37s,0,11.2
0h10min38s,0,7.2
0h11min33s,0,13.2
0h12min12s,0,0.8
0h12min42s,0,9.0
0h13min23s,0,7.6
0h14min23s,10,8.4
0h15min14s,0,11.6
0h16min33s,0,14.0
0h17min20s,0,2.6
0h18min4s,0,4.6
0h18min41s,10,12.0
0h19min19s,0,2.6
0h19min52s,0,18.4
0h20min25s,0,16.4
0h21min31s,0,6.0
0h22min6s,10,9.4
0h22min52s,0,16.8
0h23min22s,10,29.0
0h23min58s,10,12.8
0h24min33s,0,6.0
0h25min21s,10,29.4
0h25min53s,10,5.8
0h26min51s,10,4.2
0h27min22s,0,0.6
0h28min0s,10,20.8
0h28min34s,10,4.0
0h29min4s,10,22.4
0h29min35s,100,6.4
0h30min25s,10,6.8
0h31min24s,0,6.0
0h32min19s,0,3.8
0h32min51s,10,7.2
0h33min30s,10,6.8
0h34min11s,0,1.2
0h34min45s,10,12.0
0h35min32s,0,9.4
0h36min24s,10,2.0
0h37min6s,0,1.6
0h37min38s,0,1.4
0h38min32s,10,3.6
0h39min8s,100,1.2
0h39min52s,10,23.4
0h40min34s,10,9.0
0h41min6s,0,0.4
0h41min44s,0,9.8
0h42min17s,10,8.4
0h42min47s,10,11.0
0h43min20s,10,34.2
0h44min4s,0,4.6
0h45min1s,10,40.0
0h45min36s,10,4.6
0h46min6s,10,11.4
0h46min39s,10,9.4
0h47min40s,10,11.2
0h48min10s,10,6.0
0h48min49s,0,19.0
0h49min42s,10,20.8
0h50min19s,100,4.4
0h50min53s,10,8.6
0h51min27s,10,10.4
0h52min3s,10,2.2
0h52min46s,100,5.4
0h53min43s,10,40.0
0h54min16s,10,4.8
0h54min55s,100,22.4
0h55min39s,10,0.8
0h56min21s,10,34.4
0h56min52s,10,7.8
0h57min35s,10,8.2
0h58min11s,10,5.4
0h58min41s,10,12.6
0h59min30s,10,12.4
1h0min11s,100,7.4
1h0min42s,10,8.6
1h1min17s,10,13.6
1h1min50s,10,37.6
