time,mean_reward,mean_length
0h0min39s,0,2.0
0h1min13s,0,2.0
0h2min1s,0,1.2
0h2min33s,0,2.0
0h3min23s,0,5.4
0h4min2s,0,0.6
0h4min35s,0,2.6
0h5min17s,0,0.8
0h6min5s,0,1.6
0h6min45s,0,4.4
0h7min47s,0,7.6
0h8min17s,0,5.0
0h8min49s,0,2.6
0h9min47s,0,2.0
0h10min46s,0,4.0
0h11min38s,0,0.8
0h12min34s,0,0.8
0h13min24s,0,2.4
0h13min54s,0,5.6
0h14min25s,0,3.6
0h14min58s,0,0.8
0h15min38s,0,2.2
0h16min31s,0,7.4
0h17min17s,0,4.2
0h17min54s,0,2.2
0h18min55s,0,5.6
0h19min41s,0,1.0
0h20min23s,0,8.2
0h21min8s,10,5.0
0h21min54s,0,3.8
0h22min38s,0,8.8
0h23min33s,0,1.0
0h24min23s,0,2.2
0h24min55s,0,2.4
0h25min32s,0,7.6
0h26min21s,0,2.2
0h26min58s,0,5.4
0h27min44s,0,2.4
0h28min33s,0,8.0
0h29min5s,0,1.0
0h29min40s,0,0.8
0h30min31s,0,0.6
0h31min12s,10,2.0
0h31min59s,0,2.8
0h32min30s,10,1.2
0h33min15s,10,1.2
0h34min3s,10,1.4
0h34min50s,0,0.8
0h35min27s,10,6.8
0h36min14s,0,0.6
0h37min36s,0,2.6
0h38min23s,0,3.2
0h39min17s,0,1.8
0h40min6s,10,6.0
0h40min47s,0,2.4
0h41min18s,0,1.6
0h41min53s,10,2.0
0h42min47s,0,1.8
0h43min33s,0,0.8
0h44min11s,0,2.8
0h44min57s,0,39.8
0h45min33s,0,3.0
0h46min28s,0,1.2
0h47min1s,0,0.6
0h47min38s,10,0.6
0h48min36s,10,20.8
0h49min27s,10,9.2
0h50min4s,10,0.6
0h50min34s,10,9.2
0h51min16s,10,10.6
0h51min47s,0,1.8
0h52min36s,10,10.8
0h53min22s,0,1.4
0h53min53s,10,7.2
0h54min43s,10,12.6
0h55min30s,10,7.4
0h56min0s,0,1.2
0h56min38s,10,1.4
0h57min30s,10,1.0
0h58min3s,0,7.6
0h58min34s,10,5.6
0h59min13s,10,7.4
1h0min2s,10,11.0
1h0min46s,10,1.8
1h1min38s,10,1.6
1h2min11s,0,1.0
1h2min50s,10,7.2
