time,mean_reward,mean_length
0h0min50s,0,0.4
0h1min21s,0,6.4
0h1min51s,0,1.8
0h2min31s,0,8.6
0h3min22s,0,2.6
0h4min19s,0,5.6
0h4min56s,0,2.0
0h5min49s,0,1.2
0h6min33s,0,6.8
0h7min10s,0,6.2
0h7min41s,0,10.0
0h8min12s,0,6.2
0h8min57s,0,3.0
0h9min37s,0,1.4
0h10min38s,0,2.2
0h11min33s,0,4.8
0h12min13s,10,23.6
0h12min47s,0,3.2
0h13min23s,0,9.6
0h14min23s,0,0.8
0h15min15s,0,14.0
0h16min34s,0,4.0
0h17min20s,0,2.6
0h18min5s,0,6.6
0h18min41s,10,4.4
0h19min19s,0,4.6
0h19min52s,10,4.0
0h20min25s,0,4.6
0h21min32s,0,4.0
0h22min6s,10,7.4
0h22min52s,0,0.4
0h23min23s,10,3.2
0h23min59s,10,9.4
0h24min33s,10,6.4
0h25min22s,0,4.4
0h25min53s,0,1.2
0h26min52s,0,12.6
0h27min23s,10,9.8
0h28min0s,10,6.4
0h28min35s,0,5.8
0h29min5s,0,26.8
0h29min35s,0,1.0
0h30min26s,10,12.2
0h31min25s,0,24.8
0h32min20s,0,40.0
0h32min52s,10,1.2
0h33min30s,10,33.2
0h34min12s,10,6.8
0h34min47s,100,4.4
0h35min32s,10,5.0
0h36min25s,10,1.4
0h37min7s,0,4.2
0h37min39s,100,0.8
0h38min33s,10,1.4
0h39min9s,10,6.8
0h39min53s,0,6.4
0h40min35s,10,6.0
0h41min7s,10,2.0
0h41min45s,10,9.6
0h42min18s,10,11.4
0h42min48s,10,33.6
0h43min21s,100,15.4
0h44min5s,0,1.0
0h45min2s,100,25.4
0h45min36s,10,8.0
0h46min7s,100,4.2
0h46min39s,0,16.8
0h47min41s,100,28.8
0h48min23s,10,40.0
0h49min16s,10,40.0
0h49min57s,10,7.6
0h50min44s,10,18.6
0h51min17s,100,32.6
0h51min54s,10,2.2
0h52min47s,10,7.6
0h53min44s,100,13.6
0h54min17s,0,5.0
0h54min56s,100,7.2
0h55min40s,10,4.6
0h56min22s,10,40.0
0h56min52s,10,7.6
0h57min57s,10,6.6
0h58min42s,10,9.4
0h59min31s,100,8.2
1h0min12s,10,10.8
1h0min42s,10,0.6
1h1min17s,10,8.2
1h1min50s,10,15.8
