time,mean_reward,mean_length
0h0min53s,10,5.0
0h1min42s,0,3.0
0h2min22s,0,3.0
0h2min55s,0,1.4
0h3min33s,0,3.6
0h4min14s,0,1.2
0h4min59s,0,1.6
0h6min4s,0,3.6
0h6min46s,0,1.6
0h7min39s,0,2.8
0h8min34s,0,1.4
0h9min9s,0,0.6
0h9min42s,0,2.2
0h10min24s,0,2.0
0h11min1s,0,0.6
0h11min32s,0,1.4
0h12min7s,0,5.0
0h12min47s,0,2.2
0h13min21s,0,3.4
0h13min51s,0,5.0
0h14min30s,0,0.8
0h15min0s,0,2.2
0h15min38s,0,6.2
0h16min10s,10,2.0
0h16min42s,10,2.4
0h17min23s,0,2.4
0h18min12s,0,1.8
0h18min56s,10,2.2
0h19min45s,10,2.8
0h20min39s,0,0.6
0h21min26s,0,0.6
0h22min17s,0,0.8
0h22min48s,10,10.2
0h23min21s,0,2.2
0h23min51s,10,0.8
0h24min35s,0,3.0
0h25min33s,0,1.4
0h26min54s,10,1.2
0h27min34s,10,2.8
0h28min6s,0,0.6
0h28min48s,10,1.6
0h29min18s,10,17.4
0h29min56s,0,0.6
0h30min40s,0,0.8
0h31min15s,10,9.0
0h31min52s,10,2.6
0h32min39s,10,5.0
0h33min25s,10,5.6
0h33min57s,0,2.0
0h34min29s,0,1.2
0h35min10s,0,0.8
0h35min57s,10,1.4
0h36min57s,0,0.8
0h37min36s,10,0.8
0h38min28s,0,2.6
0h39min21s,0,1.6
0h40min6s,10,1.6
0h40min47s,10,2.2
0h41min40s,10,4.8
0h42min23s,10,18.4
0h43min7s,10,25.8
0h43min47s,10,5.0
0h44min26s,0,0.8
0h45min12s,10,5.4
0h46min4s,10,6.8
0h46min34s,10,0.6
0h47min47s,10,0.8
0h48min51s,10,40.0
0h49min59s,10,0.8
0h50min46s,10,5.6
0h51min17s,0,1.8
0h51min55s,0,0.8
0h52min48s,10,2.2
0h53min29s,10,5.8
0h54min22s,10,4.6
0h55min6s,10,1.6
0h55min46s,10,5.6
0h56min25s,10,1.6
0h57min3s,0,3.0
0h57min33s,0,1.4
0h58min9s,10,4.4
0h58min41s,10,7.4
0h59min20s,10,40.0
0h59min54s,10,5.4
1h0min25s,10,40.0
1h1min20s,10,38.0
1h2min15s,10,40.0
