time,mean_reward,mean_length
0h0min39s,0,1.0
0h1min12s,0,4.2
0h2min1s,0,9.2
0h2min33s,0,13.0
0h3min22s,0,14.4
0h4min2s,0,5.6
0h4min35s,0,6.6
0h5min17s,0,9.6
0h6min5s,0,3.8
0h6min45s,0,3.8
0h7min47s,0,2.0
0h8min17s,0,2.8
0h8min49s,0,1.4
0h9min47s,0,5.4
0h10min46s,0,2.0
0h11min37s,0,3.6
0h12min33s,0,18.4
0h13min24s,0,3.0
0h13min54s,0,1.2
0h14min25s,0,2.4
0h14min57s,0,11.0
0h15min38s,0,11.4
0h16min31s,0,4.2
0h17min16s,0,2.6
0h17min54s,0,5.0
0h18min55s,0,1.2
0h19min25s,0,17.4
0h20min9s,0,33.2
0h20min45s,0,3.0
0h21min54s,0,22.0
0h22min38s,0,13.4
0h23min32s,0,8.2
0h24min23s,0,2.4
0h24min55s,0,4.6
0h25min33s,0,1.8
0h26min21s,0,15.0
0h26min58s,0,9.4
0h27min44s,0,20.2
0h28min32s,0,29.8
0h29min7s,0,6.8
0h29min40s,0,5.8
0h30min31s,0,4.8
0h31min12s,0,2.2
0h31min59s,0,4.0
0h32min30s,0,7.4
0h33min15s,0,34.4
0h33min45s,0,19.2
0h34min30s,0,4.4
0h35min7s,0,6.2
0h35min49s,0,5.2
0h36min41s,0,8.6
0h37min36s,0,6.4
0h38min23s,0,4.0
0h39min17s,0,11.0
0h40min5s,0,6.8
0h40min47s,0,16.2
0h41min18s,100,15.8
0h41min53s,0,7.8
0h42min47s,0,18.4
0h43min33s,0,4.8
0h44min11s,0,7.0
0h44min57s,0,5.4
0h45min32s,0,6.2
0h46min28s,0,5.4
0h47min1s,0,4.4
0h47min38s,0,2.4
0h48min36s,0,2.8
0h49min27s,0,6.6
0h50min4s,0,5.0
0h50min54s,0,2.2
0h51min46s,0,3.4
0h52min37s,0,4.4
0h53min22s,0,2.4
0h53min53s,0,9.6
0h54min42s,0,18.2
0h55min30s,0,28.2
0h56min0s,0,7.6
0h56min38s,0,25.8
0h57min29s,0,36.4
0h58min4s,0,10.0
0h58min51s,0,18.8
0h59min40s,0,30.0
1h0min29s,0,40.0
1h1min13s,0,8.8
1h1min44s,0,10.6
1h2min22s,0,6.4
