time,mean_reward,mean_length
0h0min30s,0.0,1500.0
0h1min2s,0.0,500.0
0h1min33s,0.0,500.0
0h2min5s,0.0,500.0
0h2min37s,0.0,500.0
0h3min9s,10.0,500.0
0h3min40s,0.0,500.0
0h4min11s,0.0,662.0
0h4min43s,0.0,500.0
0h5min30s,10.0,744.0
0h6min2s,10.0,500.0
0h6min34s,0.0,500.0
0h7min6s,0.0,500.0
0h7min38s,10.0,500.0
0h8min9s,0.0,500.0
0h8min41s,0.0,500.0
0h9min13s,0.0,500.0
0h9min45s,0.0,500.0
0h10min30s,0.0,1500.0
0h11min2s,10.0,500.0
0h11min34s,10.0,500.0
0h12min6s,0.0,500.0
0h12min37s,0.0,1500.0
0h13min10s,0.0,581.0
0h13min42s,10.0,500.0
0h14min14s,0.0,500.0
0h14min45s,0.0,500.0
0h15min30s,0.0,500.0
0h16min1s,10.0,414.0
0h16min33s,0.0,500.0
0h17min5s,0.0,500.0
0h17min37s,0.0,500.0
0h18min9s,0.0,500.0
0h18min41s,0.0,500.0
0h19min13s,0.0,500.0
0h19min45s,10.0,500.0
0h20min30s,10.0,1500.0
0h21min2s,10.0,1025.0
0h21min34s,10.0,860.0
0h22min5s,10.0,508.0
0h22min37s,10.0,1037.0
0h23min9s,0.0,500.0
0h23min41s,0.0,500.0
0h24min13s,0.0,500.0
0h24min44s,10.0,1500.0
0h25min22s,10.0,1372.0
0h25min53s,10.0,500.0
0h26min25s,10.0,500.0
0h26min57s,10.0,500.0
0h27min28s,10.0,500.0
0h28min0s,10.0,500.0
0h28min32s,10.0,500.0
0h29min3s,10.0,500.0
0h29min35s,10.0,500.0
0h30min22s,10.0,500.0
0h30min54s,10.0,367.0
0h31min25s,10.0,327.0
0h31min57s,10.0,344.0
0h32min29s,10.0,362.0
0h33min0s,10.0,382.0
0h33min32s,10.0,378.0
0h34min4s,10.0,316.0
0h34min36s,10.0,621.0
0h35min22s,20.0,963.0
0h35min53s,20.0,1500.0
0h36min27s,10.0,400.0
0h36min58s,10.0,448.0
0h37min30s,10.0,339.0
0h38min1s,0.0,157.0
0h38min33s,10.0,799.0
0h39min5s,10.0,795.0
0h39min36s,10.0,355.0
0h40min34s,10.0,551.0
0h41min8s,0.0,41.0
0h41min41s,0.0,50.0
0h42min14s,20.0,1500.0
0h42min48s,20.0,1500.0
0h43min22s,0.0,143.0
0h43min56s,20.0,1500.0
0h44min28s,0.0,11.0
0h45min2s,10.0,176.0
0h45min34s,0.0,8.0
0h46min7s,10.0,403.0
0h46min40s,20.0,1500.0
0h47min13s,0.0,49.0
0h47min44s,20.0,818.0
0h48min16s,20.0,693.0
0h48min49s,0.0,45.0
0h49min22s,20.0,1500.0
0h49min54s,10.0,157.0
0h50min34s,0.0,43.0
0h51min6s,10.0,392.0
0h51min40s,0.0,70.0
0h52min12s,0.0,34.0
0h52min45s,0.0,58.0
0h53min17s,20.0,806.0
0h53min50s,100.0,884.0
0h54min21s,20.0,655.0
0h54min54s,20.0,690.0
0h55min34s,100.0,805.0
0h56min6s,100.0,608.0
0h56min38s,20.0,925.0
0h57min10s,100.0,519.0
0h57min41s,20.0,871.0
0h58min14s,100.0,1313.0
0h58min46s,100.0,486.0
0h59min18s,100.0,543.0
0h59min51s,20.0,957.0
1h0min34s,10.0,431.0
1h1min6s,100.0,469.0
1h1min38s,100.0,435.0
1h2min9s,0.0,81.0
1h2min40s,100.0,594.0
1h3min11s,100.0,545.0
1h3min43s,20.0,1038.0
1h4min14s,10.0,356.0
1h4min45s,10.0,355.0
1h5min34s,100.0,385.0
1h6min6s,100.0,745.0
1h6min38s,10.0,136.0
1h7min10s,100.0,351.0
1h7min41s,100.0,310.0
1h8min12s,100.0,432.0
1h8min44s,0.0,52.0
1h9min17s,100.0,427.0
1h9min48s,100.0,460.0
1h10min34s,0.0,83.0
1h11min6s,0.0,112.0
1h11min38s,100.0,669.0
1h12min10s,10.0,280.0
1h12min41s,10.0,346.0
1h13min13s,100.0,608.0
1h13min44s,100.0,508.0
1h14min15s,100.0,605.0
1h14min48s,100.0,776.0
1h15min35s,100.0,678.0
1h16min6s,10.0,626.0
1h16min38s,100.0,339.0
1h17min10s,10.0,467.0
1h17min42s,20.0,494.0
1h18min13s,0.0,138.0
1h18min44s,10.0,198.0
1h19min15s,100.0,1001.0
1h19min47s,100.0,561.0
1h20min35s,0.0,103.0
1h21min6s,20.0,673.0
1h21min38s,100.0,466.0
1h22min9s,10.0,336.0
1h22min41s,100.0,429.0
1h23min12s,100.0,483.0
1h23min43s,100.0,380.0
1h24min15s,100.0,486.0
1h24min47s,10.0,509.0
1h25min35s,100.0,431.0
1h26min6s,100.0,528.0
1h26min37s,0.0,110.0
1h27min9s,100.0,354.0
1h27min40s,100.0,513.0
1h28min11s,100.0,641.0
1h28min43s,100.0,644.0
1h29min14s,100.0,515.0
1h29min46s,100.0,333.0
1h30min35s,100.0,588.0
1h31min8s,100.0,351.0
1h31min39s,100.0,392.0
1h32min11s,10.0,340.0
1h32min42s,100.0,508.0
1h33min14s,10.0,138.0
1h33min45s,100.0,502.0
1h34min17s,100.0,633.0
1h34min49s,10.0,308.0
1h35min35s,100.0,333.0
1h36min7s,100.0,502.0
1h36min39s,10.0,254.0
1h37min11s,10.0,160.0
1h37min42s,100.0,385.0
1h38min14s,100.0,515.0
