time,mean_reward,mean_length
0h0min30s,0.0,1500.0
0h1min2s,0.0,500.0
0h1min34s,0.0,500.0
0h2min6s,0.0,500.0
0h2min37s,10.0,1500.0
0h3min9s,0.0,850.0
0h3min41s,0.0,500.0
0h4min13s,0.0,500.0
0h4min45s,0.0,500.0
0h5min30s,0.0,500.0
0h6min2s,0.0,500.0
0h6min34s,0.0,500.0
0h7min6s,0.0,500.0
0h7min37s,0.0,500.0
0h8min9s,10.0,500.0
0h8min40s,0.0,500.0
0h9min12s,0.0,500.0
0h9min43s,10.0,500.0
0h10min30s,10.0,1500.0
0h11min2s,10.0,500.0
0h11min34s,10.0,500.0
0h12min6s,10.0,500.0
0h12min37s,10.0,500.0
0h13min9s,10.0,500.0
0h13min41s,10.0,500.0
0h14min13s,10.0,500.0
0h14min45s,10.0,500.0
0h15min30s,10.0,500.0
0h16min2s,10.0,500.0
0h16min34s,10.0,500.0
0h17min5s,10.0,1500.0
0h17min36s,0.0,97.0
0h18min8s,0.0,500.0
0h18min40s,10.0,500.0
0h19min11s,10.0,1214.0
0h19min42s,10.0,1110.0
0h20min30s,0.0,97.0
0h21min1s,10.0,1500.0
0h21min33s,0.0,89.0
0h22min4s,0.0,271.0
0h22min36s,10.0,1144.0
0h23min7s,10.0,1500.0
0h23min39s,10.0,1500.0
0h24min20s,10.0,604.0
0h24min52s,10.0,500.0
0h25min23s,10.0,796.0
0h25min55s,10.0,500.0
0h26min27s,10.0,500.0
0h26min58s,10.0,500.0
0h27min30s,10.0,500.0
0h28min2s,10.0,500.0
0h28min34s,10.0,500.0
0h29min20s,10.0,500.0
0h29min52s,10.0,374.0
0h30min24s,10.0,345.0
0h30min56s,10.0,237.0
0h31min27s,10.0,689.0
0h31min59s,10.0,302.0
0h32min31s,10.0,317.0
0h33min3s,0.0,20.0
0h33min35s,0.0,219.0
0h34min20s,0.0,15.0
0h34min51s,10.0,153.0
0h35min23s,10.0,341.0
0h35min55s,10.0,287.0
0h36min27s,10.0,1500.0
0h36min59s,10.0,394.0
0h37min31s,10.0,556.0
0h38min3s,10.0,1500.0
0h38min35s,10.0,742.0
0h39min20s,10.0,1500.0
0h39min52s,10.0,1500.0
0h40min25s,20.0,1500.0
0h40min57s,10.0,493.0
0h41min29s,10.0,1500.0
0h42min2s,10.0,669.0
0h42min34s,10.0,302.0
0h43min5s,10.0,1500.0
0h43min37s,20.0,317.0
0h44min20s,10.0,379.0
0h45min15s,0.0,194.0
0h45min49s,0.0,46.0
0h46min22s,0.0,157.0
0h46min55s,0.0,17.0
0h47min27s,0.0,129.0
0h48min0s,0.0,4.0
0h48min33s,20.0,1500.0
0h49min8s,0.0,92.0
0h49min41s,0.0,14.0
0h50min15s,20.0,1500.0
0h50min47s,0.0,74.0
0h51min21s,0.0,125.0
0h51min54s,20.0,1500.0
0h52min28s,20.0,1500.0
0h53min2s,0.0,27.0
0h53min35s,0.0,131.0
0h54min7s,20.0,1472.0
0h54min40s,0.0,84.0
0h55min15s,0.0,133.0
0h55min49s,0.0,18.0
0h56min22s,10.0,110.0
0h56min53s,20.0,1500.0
0h57min25s,0.0,85.0
0h57min58s,0.0,26.0
0h58min31s,100.0,1258.0
0h59min5s,10.0,334.0
0h59min38s,0.0,82.0
1h0min15s,0.0,29.0
1h0min48s,0.0,107.0
1h1min21s,20.0,1500.0
1h1min55s,10.0,1500.0
1h2min29s,20.0,1500.0
1h3min3s,20.0,1500.0
1h3min37s,10.0,179.0
1h4min9s,20.0,607.0
1h4min42s,20.0,427.0
1h5min15s,0.0,57.0
1h5min49s,0.0,17.0
1h6min21s,100.0,1125.0
1h6min54s,10.0,418.0
1h7min26s,20.0,1500.0
1h8min0s,0.0,131.0
1h8min32s,20.0,695.0
1h9min4s,10.0,450.0
1h9min36s,100.0,640.0
1h10min16s,20.0,1160.0
1h10min48s,100.0,610.0
1h11min19s,100.0,691.0
1h11min50s,10.0,257.0
1h12min23s,0.0,83.0
1h12min54s,20.0,924.0
1h13min26s,100.0,642.0
1h13min58s,20.0,487.0
1h14min31s,20.0,1070.0
1h15min16s,20.0,907.0
1h15min48s,100.0,428.0
1h16min20s,100.0,633.0
1h16min51s,100.0,624.0
1h17min23s,100.0,630.0
1h17min55s,100.0,594.0
1h18min27s,100.0,467.0
1h18min58s,100.0,455.0
1h19min30s,10.0,360.0
1h20min16s,100.0,468.0
1h20min46s,100.0,639.0
1h21min18s,10.0,536.0
1h21min50s,0.0,9.0
1h22min20s,0.0,23.0
1h22min52s,100.0,746.0
1h23min24s,0.0,123.0
1h23min56s,100.0,529.0
1h24min27s,100.0,611.0
1h25min16s,100.0,404.0
1h25min47s,10.0,397.0
1h26min19s,100.0,499.0
1h26min50s,20.0,569.0
1h27min22s,0.0,15.0
1h27min53s,20.0,434.0
1h28min24s,20.0,457.0
1h28min56s,100.0,581.0
1h29min27s,0.0,48.0
1h30min16s,10.0,371.0
1h30min48s,10.0,150.0
1h31min19s,20.0,497.0
1h31min50s,10.0,344.0
1h32min22s,100.0,398.0
1h32min53s,100.0,423.0
1h33min24s,10.0,296.0
1h33min56s,100.0,578.0
1h34min27s,100.0,457.0
1h35min16s,10.0,477.0
1h35min48s,10.0,345.0
1h36min19s,100.0,454.0
1h36min50s,10.0,391.0
1h37min22s,100.0,429.0
1h37min53s,0.0,523.0
1h38min25s,100.0,587.0
1h38min57s,100.0,636.0
1h39min29s,20.0,558.0
1h40min16s,100.0,513.0
1h40min48s,100.0,494.0
1h41min20s,100.0,522.0
1h41min51s,100.0,513.0
1h42min23s,100.0,623.0
1h42min55s,100.0,487.0
1h43min26s,100.0,451.0
1h43min57s,20.0,459.0
1h44min29s,100.0,533.0
